id,name,level,category
1,Active Listening Enhancement,1,OverallGoal
2,Help Students Improve Attention,2,Framework
3,Contextual Introduction,3,TeacherActivity
4,If stories or videos are used then students attention and interest are quickly captured. Attention: Align content with objectives limit to 2-3 minutes.,4,Rationale
5,Specific Activities,4,ActivityGroup
6,Story,5,ActivityItem
7,Song,5,ActivityItem
8,Video,5,ActivityItem
9,Pose Questions,5,ActivityItem
10,Use Vivid Verbal Language,3,TeacherActivity
11,If vivid language and varied intonation are used then students listen more attentively. Attention: Use natural intonation ensure clear instructions.,4,Rationale
12,Specific Activities,4,ActivityGroup
13,Teachers language is engaging with varied intonation,5,ActivityItem
14,Use exclamatory sentences frequently e.g. Wow!/Look at this!,5,ActivityItem
15,Teachers instructions are simple and clear,5,ActivityItem
16,Teachers Body Language,3,TeacherActivity
17,If gestures or eye contact are used then students attention is rekindled. Attention: Use moderate gestures maintain positive attitude.,4,Rationale
18,Specific Activities,4,ActivityGroup
19,Eye contact signals,5,ActivityItem
20,Nodding clapping (to show attention),5,ActivityItem
21,Patting students shoulders as a reminder,5,ActivityItem
22,Conduct Game Activities,3,TeacherActivity
23,If games are fun and competitive then students listen attentively to rules. Attention: Use simple rules limit to 5-10 minutes ensure participation.,4,Rationale
24,Specific Activities,4,ActivityGroup
25,Word games (e.g. train game hide-and-seek with words),5,ActivityItem
26,Quick-response challenge games,5,ActivityItem
27,Online related games,5,ActivityItem
28,Timed Task Challenges,3,TeacherActivity
29,If tasks have time limits then students focus and listen to instructions. Attention: Set reasonable time match task difficulty to ability.,4,Rationale
30,Specific Activities,4,ActivityGroup
31,Specify the time for each task,5,ActivityItem
32,Assign more short-duration tasks,5,ActivityItem
33,Varied formats (individual pair group),5,ActivityItem
34,Organize Varied Fun Reading Activities,3,TeacherActivity
35,If role-playing or group reading is used then students listen attentively to prepare. Attention: Use structured formats demonstrate intonation.,4,Rationale
36,Specific Activities,4,ActivityGroup
37,Students role-play reading,5,ActivityItem
38,Group competitive reading,5,ActivityItem
39,Read with different emotions,5,ActivityItem
40,Conduct Audiovisual Activities,3,TeacherActivity
41,If videos or picture books are used then students attention is attracted. Attention: Use lesson-related materials guide focus.,4,Rationale
42,Specific Activities,4,ActivityGroup
43,Watch videos/photos (lesson-related),5,ActivityItem
44,Listen to music (lesson-related),5,ActivityItem
45,Read picture books (lesson-related),5,ActivityItem
46,Have students observe objects (lesson elements),5,ActivityItem
47,Organize Competitive Activities,3,TeacherActivity
48,If quizzes are goal-driven then students listen to questions attentively. Attention: Use tiered questions ensure fair rewards.,4,Rationale
49,Specific Activities,4,ActivityGroup
50,Lesson content knowledge quiz,5,ActivityItem
51,Unit review competition,5,ActivityItem
52,Extracurricular knowledge competition,5,ActivityItem
53,Encourage Student Movement,3,TeacherActivity
54,If movement is encouraged then students attention is rekindled. Attention: Keep activities orderly limit to 10 minutes.,4,Rationale
55,Specific Activities,4,ActivityGroup
56,Stand and read in different postures,5,ActivityItem
57,Whole class moves to find partners (form teams),5,ActivityItem
58,Sing to express,5,ActivityItem
59,Dance/body performance,5,ActivityItem
60,Encourage Research Activities,3,TeacherActivity
61,If research tasks are assigned then students listen to requirements attentively. Attention: Use specific tasks teach tool usage.,4,Rationale
62,Specific Activities,4,ActivityGroup
63,Look up dictionary to note word meanings,5,ActivityItem
64,Research cultural knowledge,5,ActivityItem
65,Research lesson-related background,5,ActivityItem
66,Help Students Improve Comprehension,2,Framework
67,Guide Students to Identify Key Points,3,TeacherActivity
68,If key words or questions are used then students comprehend lesson core. Attention: Use clear content provide feedback.,4,Rationale
69,Specific Activities,4,ActivityGroup
70,Key words/sentences,5,ActivityItem
71,Find differences,5,ActivityItem
72,Fill out knowledge lists (K-W-L charts),5,ActivityItem
73,Progressive questioning,5,ActivityItem
74,Connect to Real-Life Experiences,3,TeacherActivity
75,If real-life links are made then students deepen comprehension. Attention: Control sharing time ensure safe environment.,4,Rationale
