START_ID,END_ID,RELATIONSHIP
1,2,CONTAINS
1,66,CONTAINS
1,92,CONTAINS
1,116,CONTAINS
1,139,CONTAINS
1,169,CONTAINS
2,3,CONTAINS
2,10,CONTAINS
2,16,CONTAINS
2,22,CONTAINS
2,28,CONTAINS
2,34,CONTAINS
2,40,CONTAINS
2,47,CONTAINS
2,53,CONTAINS
2,60,CONTAINS
3,4,JUSTIFIES
3,5,CONTAINS
5,6,CONTAINS
5,7,CONTAINS
5,8,CONTAINS
5,9,CONTAINS
10,11,JUSTIFIES
10,12,CONTAINS
12,13,CONTAINS
12,14,CONTAINS
12,15,CONTAINS
16,17,JUSTIFIES
16,18,CONTAINS
18,19,CONTAINS
18,20,CONTAINS
18,21,CONTAINS
22,23,JUSTIFIES
22,24,CONTAINS
24,25,CONTAINS
24,26,CONTAINS
24,27,CONTAINS
28,29,JUSTIFIES
28,30,CONTAINS
30,31,CONTAINS
30,32,CONTAINS
30,33,CONTAINS
34,35,JUSTIFIES
34,36,CONTAINS
36,37,CONTAINS
36,38,CONTAINS
36,39,CONTAINS
40,41,JUSTIFIES
40,42,CONTAINS
42,43,CONTAINS
42,44,CONTAINS
42,45,CONTAINS
42,46,CONTAINS
47,48,JUSTIFIES
47,49,CONTAINS
49,50,CONTAINS
49,51,CONTAINS
49,52,CONTAINS
53,54,JUSTIFIES
53,55,CONTAINS
55,56,CONTAINS
55,57,CONTAINS
55,58,CONTAINS
55,59,CONTAINS
60,61,JUSTIFIES
60,62,CONTAINS
62,63,CONTAINS
62,64,CONTAINS
62,65,CONTAINS
66,67,CONTAINS
66,74,CONTAINS
66,80,CONTAINS
66,85,CONTAINS
67,68,JUSTIFIES
67,69,CONTAINS
69,70,CONTAINS
69,71,CONTAINS
69,72,CONTAINS
69,73,CONTAINS
74,75,JUSTIFIES
74,76,CONTAINS
76,77,CONTAINS
76,78,CONTAINS
76,79,CONTAINS
80,81,JUSTIFIES
80,82,CONTAINS
82,83,CONTAINS
82,84,CONTAINS
85,86,JUSTIFIES
85,87,CONTAINS
87,88,CONTAINS
87,89,CONTAINS
87,90,CONTAINS
87,91,CONTAINS
92,93,CONTAINS
92,99,CONTAINS
92,105,CONTAINS
92,111,CONTAINS
93,94,JUSTIFIES
93,95,CONTAINS
95,96,CONTAINS
95,97,CONTAINS
95,98,CONTAINS
99,100,JUSTIFIES
99,101,CONTAINS
101,102,CONTAINS
101,103,CONTAINS
101,104,CONTAINS
105,106,JUSTIFIES
105,107,CONTAINS
107,108,CONTAINS
107,109,CONTAINS
107,110,CONTAINS
111,112,JUSTIFIES
111,113,CONTAINS
113,114,CONTAINS
113,115,CONTAINS
116,117,CONTAINS
116,123,CONTAINS
116,128,CONTAINS
116,133,CONTAINS
117,118,JUSTIFIES
117,119,CONTAINS
119,120,CONTAINS
119,121,CONTAINS
119,122,CONTAINS
123,124,JUSTIFIES
123,125,CONTAINS
125,126,CONTAINS
125,127,CONTAINS
128,129,JUSTIFIES
128,130,CONTAINS
130,131,CONTAINS
130,132,CONTAINS
133,134,JUSTIFIES
133,135,CONTAINS
135,136,CONTAINS
135,137,CONTAINS
135,138,CONTAINS
139,140,CONTAINS
139,147,CONTAINS
139,153,CONTAINS
139,159,CONTAINS
139,164,CONTAINS
140,141,JUSTIFIES
140,142,CONTAINS
142,143,CONTAINS
142,144,CONTAINS
142,145,CONTAINS
142,146,CONTAINS
147,148,JUSTIFIES
147,149,CONTAINS
149,150,CONTAINS
149,151,CONTAINS
149,152,CONTAINS
153,154,JUSTIFIES
153,155,CONTAINS
155,156,CONTAINS
155,157,CONTAINS
155,158,CONTAINS
159,160,JUSTIFIES
159,161,CONTAINS
161,162,CONTAINS
161,163,CONTAINS
164,165,JUSTIFIES
164,166,CONTAINS
166,167,CONTAINS
166,168,CONTAINS
169,170,CONTAINS
169,175,CONTAINS
169,182,CONTAINS
169,186,CONTAINS
169,192,CONTAINS
170,171,JUSTIFIES
170,172,CONTAINS
172,173,CONTAINS
172,174,CONTAINS
175,176,JUSTIFIES
175,177,CONTAINS
177,178,CONTAINS
177,179,CONTAINS
177,180,CONTAINS
177,181,CONTAINS
182,183,JUSTIFIES
182,184,CONTAINS
184,185,CONTAINS
186,187,JUSTIFIES
186,188,CONTAINS
188,189,CONTAINS
188,190,CONTAINS
188,191,CONTAINS
192,193,JUSTIFIES
192,194,CONTAINS
194,195,CONTAINS
194,196,CONTAINS
